"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Pak7",0,0.146032,FALSE
"Gm17374",0,0.083333,FALSE
"AI646519",0,0.022915,FALSE
"Gm14139",0,0.066667,FALSE
"Gm14124",2,0.333333,TRUE
"Gm10130",18,0.666667,TRUE
"BC029722",1,0.381342,TRUE
"2900097C17Rik",3,0.302521,TRUE
"Gm14169",0,0.076923,FALSE
"Gm14230",0,0.067227,FALSE
"Soga1",0,0.065217,FALSE
"Svs2",0,0.008403,FALSE
"Tmem189",9,0.800183,TRUE
"Gm14321",0,0.027005,FALSE
"Gm11011",0,0.004405,FALSE
"1700007M16Rik",0,0.010624,FALSE
"1700021F07Rik",22,0.571429,TRUE
"Gm20721",0,0.091954,FALSE
"Atp5e",12,1.332103,TRUE
"Gm14327",0,0.011494,FALSE
"Gm9833",0,0.142857,FALSE
"Gm9733",0,0.001757,FALSE
"Gm30667",3,0.457143,TRUE
"BC002189",0,0.008403,FALSE
"Gyg",0,0.153846,FALSE
"Gm34599",0,0.142857,FALSE
"Gm29135",0,0.042017,FALSE
"Ccdc144b",12,3.512605,TRUE
"Gm11549",0,0.008403,FALSE
"4932438A13Rik",52,3.367311,TRUE
"Spata5",46,4.416667,TRUE
"1700034I23Rik",10,0.401852,TRUE
"Gm40040",0,0.011494,FALSE
"2400006E01Rik",0,0.153846,FALSE
"Gm30074",0,0.012915,FALSE
"Gm37170",0,0.005181,FALSE
"Lhfp",2,0.692308,TRUE
"Gm21958",0,0.117647,FALSE
"Spg20",1,0.285714,TRUE
"Gm42609",1,0.266667,TRUE
"Gm21954",0,0.076923,FALSE
"Gm5538",4,0.680672,TRUE
"Gm8298",0,0.017185,FALSE
"C130079G13Rik",0,0.021739,FALSE
"Gm17402",0,0.066667,FALSE
"4930402C01Rik",0,0.102291,FALSE
"Gm20754",2,1.333639,TRUE
"Gm29133",0,0.003145,FALSE
"Gm17359",38,8.339623,TRUE
"Fam160a1",0,0.016807,FALSE
"Kirrel",0,0.022989,FALSE
"Fcrls",0,0.008403,FALSE
"ETV3L",0,0.003515,FALSE
"Rrnad1",4,0.436975,TRUE
"Fam189b",0,0.2,FALSE
"Gba",0,0.153846,FALSE
"1700094D03Rik",17,0.813421,TRUE
"9130204L05Rik",0,0.015873,FALSE
"Lor",0,0.043478,FALSE
"Gm43735",0,0.008641,FALSE
"Gm9774",0,0.076923,FALSE
"Gm10696",0,0.07563,FALSE
"Gm5286",0,0.003145,FALSE
"Gm4778",0,0.042017,FALSE
"Gm43401",0,0.066667,FALSE
"4930558C23Rik",16,0.839002,TRUE
"Hist2h2ab",0,0.016807,FALSE
"Hist2h2ac",0,0.058824,FALSE
"Hist2h2be",0,0.166667,FALSE
"Hist2h3c2",0,0.083333,FALSE
"Hist2h2aa2",0,0.005076,FALSE
